Chip Run Info,C:\Users\Teyton Lab\Dropbox (Scripps Research)\Teyton Lab\Biomark\SMS Files\20200203-GE-96x96-TNet006-Plate2\ChipRun.bml,1362427296,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2/3/2020 5:25:12 PM,00:30:38,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S07-A12,PD1-ICOS- Cell1,Unknown,1,TNFAIP3,Test,14.9795511615176,1,Pass,0.0174594131105956,84.1235071357429,999,1,
S07-A13,PD1-ICOS- Cell1,Unknown,1,B2M,Test,11.9726919313293,1,Pass,0.0174594131105956,82.9616413954509,999,1,
S07-A14,PD1-ICOS- Cell1,Unknown,1,CCR4,Test,16.8364195674476,0,Fail,0.0174594131105956,84.3809620741039,76.2767894452936,0.498182077440535,
S07-A15,PD1-ICOS- Cell1,Unknown,1,CD40,Test,14.9304520977231,1,Pass,0.0174594131105956,87.4462662272004,999,1,
S07-A16,PD1-ICOS- Cell1,Unknown,1,CXCL9,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A17,PD1-ICOS- Cell1,Unknown,1,GSK3B,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A18,PD1-ICOS- Cell1,Unknown,1,IFNAR1,Test,17.3524329563361,1,Pass,0.0174594131105956,77.1067663342987,999,1,
S07-A19,PD1-ICOS- Cell1,Unknown,1,IL21,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A20,PD1-ICOS- Cell1,Unknown,1,IL7,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A21,PD1-ICOS- Cell1,Unknown,1,JAK1,Test,17.0834383083779,1,Pass,0.0174594131105956,81.9058053850574,999,1,
S07-A22,PD1-ICOS- Cell1,Unknown,1,PPARG,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A23,PD1-ICOS- Cell1,Unknown,1,STAT1,Test,14.4007088780427,1,Pass,0.0174594131105956,81.2412464719568,999,1,
S07-A24,PD1-ICOS- Cell1,Unknown,1,TNFRSF1A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A25,PD1-ICOS- Cell1,Unknown,1,BCL2,Test,17.1278013103998,1,Pass,0.0174594131105956,85.5721480819567,999,1,
S07-A26,PD1-ICOS- Cell1,Unknown,1,CCR5,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A27,PD1-ICOS- Cell1,Unknown,1,CD44,Test,16.9248029357049,1,Pass,0.0174594131105956,87.0294933594452,999,1,
S07-A28,PD1-ICOS- Cell1,Unknown,1,CXCR3,Test,999,0,Pass,0.0174594131105956,999,999,0,
S07-A29,PD1-ICOS- Cell1,Unknown,1,HLA-DRA,Test,16.6932433115125,1,Pass,0.0174594131105956,80.3400575268998,999,1,
S07-A30,PD1-ICOS- Cell1,Unknown,1,IFNAR2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S07-A31,PD1-ICOS- Cell1,Unknown,1,IL25,Test,15.5640389053324,1,Pass,0.0174594131105956,84.6906105033314,999,1,
S07-A32,PD1-ICOS- Cell1,Unknown,1,IL7R,Test,13.2090429503948,1,Pass,0.0174594131105956,80.7346022018081,999,1,
S07-A33,PD1-ICOS- Cell1,Unknown,1,JAK2,Test,16.8409449521305,1,Pass,0.0174594131105956,77.2043146636638,999,1,
S07-A34,PD1-ICOS- Cell1,Unknown,1,PPARGC1A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A35,PD1-ICOS- Cell1,Unknown,1,STAT3,Test,17.4413864811241,1,Pass,0.0174594131105956,82.7679699197266,999,1,
S07-A36,PD1-ICOS- Cell1,Unknown,1,TNFRSF1B,Test,17.0401011968417,1,Pass,0.0174594131105956,85.7058251744581,999,1,
S07-A37,PD1-ICOS- Cell1,Unknown,1,BCL6,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A38,PD1-ICOS- Cell1,Unknown,1,CCR6,Test,15.0076772063192,1,Pass,0.0174594131105956,84.6540560684898,999,1,
S07-A39,PD1-ICOS- Cell1,Unknown,1,CD52,Test,15.1569156528018,1,Pass,0.0174594131105956,79.2976292372806,999,1,
S07-A40,PD1-ICOS- Cell1,Unknown,1,CXCR4,Test,14.6899335402108,1,Pass,0.0174594131105956,81.9375639025552,999,1,
S07-A41,PD1-ICOS- Cell1,Unknown,1,ICAM1,Test,16.3004547447458,0,Fail,0.0174594131105956,999,89.0195304579339,0,
S07-A42,PD1-ICOS- Cell1,Unknown,1,IFNG,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A43,PD1-ICOS- Cell1,Unknown,1,IL2RA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A44,PD1-ICOS- Cell1,Unknown,1,IRF1,Test,16.0274379290447,1,Pass,0.0174594131105956,83.7374803095259,999,1,
S07-A45,PD1-ICOS- Cell1,Unknown,1,LY6E,Test,15.3773308276658,1,Pass,0.0174594131105956,84.339906318035,89.5524204326396,0.895730972071472,
S07-A46,PD1-ICOS- Cell1,Unknown,1,PTEN,Test,15.9911481637814,1,Pass,0.0174594131105956,79.3089622142042,999,1,
S07-A47,PD1-ICOS- Cell1,Unknown,1,STAT4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A48,PD1-ICOS- Cell1,Unknown,1,TRAF2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A54,PD1-ICOS- Cell1,Unknown,1,IFNGR1,Test,21.980460238164,0,Fail,0.0174594131105956,999,77.8350380242268,0,
S07-A53,PD1-ICOS- Cell1,Unknown,1,ICOS,Test,15.0191969619726,1,Pass,0.0174594131105956,77.7829484011612,999,1,
S07-A52,PD1-ICOS- Cell1,Unknown,1,FOXP3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A51,PD1-ICOS- Cell1,Unknown,1,CD53,Test,15.6046647478644,1,Pass,0.0174594131105956,81.0938016879884,999,1,
S07-A50,PD1-ICOS- Cell1,Unknown,1,CCR7,Test,14.2678756453581,1,Pass,0.0174594131105956,81.4206236043014,999,1,
S07-A49,PD1-ICOS- Cell1,Unknown,1,C3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A60,PD1-ICOS- Cell1,Unknown,1,TYK2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A59,PD1-ICOS- Cell1,Unknown,1,STAT5B,Test,16.0307262351032,1,Pass,0.0174594131105956,81.1455770655529,70.1293518763525,0.880681567647154,
S07-A58,PD1-ICOS- Cell1,Unknown,1,RAC1,Test,15.0136549082345,0,Fail,0.0174594131105956,999,999,0,
S07-A57,PD1-ICOS- Cell1,Unknown,1,NFKB1,Test,16.3872753146238,1,Pass,0.0174594131105956,79.8581632287699,999,1,
S07-A56,PD1-ICOS- Cell1,Unknown,1,IRF2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S07-A55,PD1-ICOS- Cell1,Unknown,1,IL3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A66,PD1-ICOS- Cell1,Unknown,1,IL10,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A65,PD1-ICOS- Cell1,Unknown,1,IFI44,Test,13.8712734939071,1,Pass,0.0174594131105956,78.1653976521347,999,1,
S07-A64,PD1-ICOS- Cell1,Unknown,1,FYN,Test,14.4158849902416,1,Pass,0.0174594131105956,77.4455824497476,999,1,
S07-A63,PD1-ICOS- Cell1,Unknown,1,CD8A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A62,PD1-ICOS- Cell1,Unknown,1,CD274,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A61,PD1-ICOS- Cell1,Unknown,1,C5,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A72,PD1-ICOS- Cell1,Unknown,1,VAV1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A71,PD1-ICOS- Cell1,Unknown,1,TBX21,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A70,PD1-ICOS- Cell1,Unknown,1,RAC2,Test,15.3684122302488,1,Pass,0.0174594131105956,82.1047536757608,999,1,
S07-A69,PD1-ICOS- Cell1,Unknown,1,NLRP3,Test,21.7558817436032,1,Pass,0.0174594131105956,83.7222751831491,999,1,
S07-A68,PD1-ICOS- Cell1,Unknown,1,IRF4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A67,PD1-ICOS- Cell1,Unknown,1,IL4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A78,PD1-ICOS- Cell1,Unknown,1,IL12RB1,Test,999,0,Pass,0.0174594131105956,999,999,0,
S07-A77,PD1-ICOS- Cell1,Unknown,1,IFI44L,Test,16.7005746737165,1,Pass,0.0174594131105956,77.3863373344867,999,1,
S07-A76,PD1-ICOS- Cell1,Unknown,1,GAPDH,Test,14.3614837919861,1,Pass,0.0174594131105956,81.5835438819027,999,1,
S07-A75,PD1-ICOS- Cell1,Unknown,1,CDC42,Test,14.924309080838,1,Pass,0.0174594131105956,78.1266813932165,999,1,
S07-A74,PD1-ICOS- Cell1,Unknown,1,CD28,Test,999,0,Pass,0.0174594131105956,999,999,0,
S07-A73,PD1-ICOS- Cell1,Unknown,1,CCR1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A84,PD1-ICOS- Cell1,Unknown,1,ZAP70,Test,16.2754104842737,1,Pass,0.0174594131105956,84.8934440810876,999,1,
S07-A83,PD1-ICOS- Cell1,Unknown,1,TGFBR2,Test,16.9904727739246,1,Pass,0.0174594131105956,80.8698170595542,999,1,
S07-A82,PD1-ICOS- Cell1,Unknown,1,RORC,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A81,PD1-ICOS- Cell1,Unknown,1,NR4A1,Test,22.310894768545,0,Fail,0.0174594131105956,999,90.9968710595873,0,
S07-A80,PD1-ICOS- Cell1,Unknown,1,IRF7,Test,999,0,Pass,0.0174594131105956,999,999,0,
S07-A79,PD1-ICOS- Cell1,Unknown,1,IL4R,Test,999,0,Pass,0.0174594131105956,999,999,0,
S07-A90,PD1-ICOS- Cell1,Unknown,1,IL17A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A89,PD1-ICOS- Cell1,Unknown,1,IFIT1,Test,14.8481328160609,1,Pass,0.0174594131105956,80.0674248659225,999,1,
S07-A88,PD1-ICOS- Cell1,Unknown,1,GATA3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A87,PD1-ICOS- Cell1,Unknown,1,CTLA4,Test,14.4866031399619,1,Pass,0.0174594131105956,84.0533007935773,999,1,
S07-A86,PD1-ICOS- Cell1,Unknown,1,CD3E,Test,15.2239604865501,1,Pass,0.0174594131105956,79.8911104005826,999,1,
S07-A85,PD1-ICOS- Cell1,Unknown,1,CCR2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A96,PD1-ICOS- Cell1,Unknown,1,ZEB2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A95,PD1-ICOS- Cell1,Unknown,1,TNF,Test,15.9903870534975,1,Pass,0.0174594131105956,83.985507416991,999,1,
S07-A94,PD1-ICOS- Cell1,Unknown,1,RPL13A,Test,14.3083676213834,0,Pass,0.0174594131105956,999,90.0090919785199,0,
S07-A93,PD1-ICOS- Cell1,Unknown,1,PDCD1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S07-A92,PD1-ICOS- Cell1,Unknown,1,IRF9,Test,14.3449731173584,0,Fail,0.0174594131105956,87.1690830737459,82.1303748872419,0.359795673800573,
S07-A91,PD1-ICOS- Cell1,Unknown,1,IL5,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A01,CXCR3+PD1+ Cell11,Unknown,1,AIM2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S84-A02,CXCR3+PD1+ Cell11,Unknown,1,CCR3,Test,15.688361463958,1,Pass,0.0174594131105956,77.8393396741327,999,1,
S84-A03,CXCR3+PD1+ Cell11,Unknown,1,CD4,Test,16.7118713605666,1,Pass,0.0174594131105956,81.7317070421246,999,1,
S84-A04,CXCR3+PD1+ Cell11,Unknown,1,CXCL10,Test,14.5984584337587,1,Pass,0.0174594131105956,80.030506332605,999,1,
S84-A05,CXCR3+PD1+ Cell11,Unknown,1,GSK3A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A06,CXCR3+PD1+ Cell11,Unknown,1,IFIT3,Test,15.751269515681,1,Pass,0.0174594131105956,79.424766527319,999,1,
S84-A07,CXCR3+PD1+ Cell11,Unknown,1,IL2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A08,CXCR3+PD1+ Cell11,Unknown,1,IL5RA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A09,CXCR3+PD1+ Cell11,Unknown,1,ISG15,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A10,CXCR3+PD1+ Cell11,Unknown,1,PPARA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A11,CXCR3+PD1+ Cell11,Unknown,1,SOCS3,Test,18.6957252333455,1,Pass,0.0174594131105956,86.1904694540495,999,1,
S84-A12,CXCR3+PD1+ Cell11,Unknown,1,TNFAIP3,Test,15.8433645791123,1,Pass,0.0174594131105956,84.060933470955,999,1,
S84-A13,CXCR3+PD1+ Cell11,Unknown,1,B2M,Test,10.5413675057839,1,Pass,0.0174594131105956,82.9378642467819,999,1,
S84-A14,CXCR3+PD1+ Cell11,Unknown,1,CCR4,Test,16.6225294676921,0,Fail,0.0174594131105956,999,76.6513172895561,0,
S84-A15,CXCR3+PD1+ Cell11,Unknown,1,CD40,Test,15.6337966663437,1,Pass,0.0174594131105956,87.410162296984,999,1,
S84-A16,CXCR3+PD1+ Cell11,Unknown,1,CXCL9,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A17,CXCR3+PD1+ Cell11,Unknown,1,GSK3B,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A18,CXCR3+PD1+ Cell11,Unknown,1,IFNAR1,Test,23.6294283185891,0,Pass,0.0174594131105956,999,999,0,
S84-A19,CXCR3+PD1+ Cell11,Unknown,1,IL21,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A20,CXCR3+PD1+ Cell11,Unknown,1,IL7,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A21,CXCR3+PD1+ Cell11,Unknown,1,JAK1,Test,999,0,Pass,0.0174594131105956,999,999,0,
S84-A22,CXCR3+PD1+ Cell11,Unknown,1,PPARG,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A23,CXCR3+PD1+ Cell11,Unknown,1,STAT1,Test,17.1091765422896,1,Pass,0.0174594131105956,81.2086560455349,999,1,
S84-A24,CXCR3+PD1+ Cell11,Unknown,1,TNFRSF1A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A25,CXCR3+PD1+ Cell11,Unknown,1,BCL2,Test,17.3978648555685,1,Pass,0.0174594131105956,85.4306500608845,999,1,
S84-A26,CXCR3+PD1+ Cell11,Unknown,1,CCR5,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A27,CXCR3+PD1+ Cell11,Unknown,1,CD44,Test,15.2052736656773,1,Pass,0.0174594131105956,87.0458082263108,999,1,
S84-A28,CXCR3+PD1+ Cell11,Unknown,1,CXCR3,Test,999,0,Pass,0.0174594131105956,999,999,0,
S84-A29,CXCR3+PD1+ Cell11,Unknown,1,HLA-DRA,Test,15.7582197952333,1,Pass,0.0174594131105956,80.2817253595327,999,1,
S84-A30,CXCR3+PD1+ Cell11,Unknown,1,IFNAR2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S84-A31,CXCR3+PD1+ Cell11,Unknown,1,IL25,Test,15.7340773760934,1,Pass,0.0174594131105956,84.660102716278,999,1,
S84-A32,CXCR3+PD1+ Cell11,Unknown,1,IL7R,Test,13.6680285325676,1,Pass,0.0174594131105956,80.7403732354342,999,1,
S84-A33,CXCR3+PD1+ Cell11,Unknown,1,JAK2,Test,15.049152232046,0,Fail,0.0174594131105956,999,999,0,
S84-A34,CXCR3+PD1+ Cell11,Unknown,1,PPARGC1A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A35,CXCR3+PD1+ Cell11,Unknown,1,STAT3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A36,CXCR3+PD1+ Cell11,Unknown,1,TNFRSF1B,Test,16.4289487506784,1,Pass,0.0174594131105956,85.7998524372359,999,1,
S84-A37,CXCR3+PD1+ Cell11,Unknown,1,BCL6,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A38,CXCR3+PD1+ Cell11,Unknown,1,CCR6,Test,15.9699244150895,1,Pass,0.0174594131105956,84.5914836484821,999,1,
S84-A39,CXCR3+PD1+ Cell11,Unknown,1,CD52,Test,12.9899259456557,1,Pass,0.0174594131105956,79.3005520762196,999,1,
S84-A40,CXCR3+PD1+ Cell11,Unknown,1,CXCR4,Test,16.0772022451162,1,Pass,0.0174594131105956,81.8561211122007,999,1,
S84-A41,CXCR3+PD1+ Cell11,Unknown,1,ICAM1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A42,CXCR3+PD1+ Cell11,Unknown,1,IFNG,Test,15.0712042807902,1,Pass,0.0174594131105956,76.8373300621321,999,1,
S84-A43,CXCR3+PD1+ Cell11,Unknown,1,IL2RA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A44,CXCR3+PD1+ Cell11,Unknown,1,IRF1,Test,15.8898295393179,1,Pass,0.0174594131105956,83.752064140217,999,1,
S84-A45,CXCR3+PD1+ Cell11,Unknown,1,LY6E,Test,15.1865413366983,1,Pass,0.0174594131105956,84.3328780893801,999,1,
S84-A46,CXCR3+PD1+ Cell11,Unknown,1,PTEN,Test,16.0210341177452,1,Pass,0.0174594131105956,79.2534326881445,999,1,
S84-A47,CXCR3+PD1+ Cell11,Unknown,1,STAT4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A48,CXCR3+PD1+ Cell11,Unknown,1,TRAF2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A54,CXCR3+PD1+ Cell11,Unknown,1,IFNGR1,Test,16.5139472940363,0,Fail,0.0174594131105956,999,999,0,
S84-A53,CXCR3+PD1+ Cell11,Unknown,1,ICOS,Test,25.1967008298035,0,Pass,0.0174594131105956,999,78.8200958619696,0,
S84-A52,CXCR3+PD1+ Cell11,Unknown,1,FOXP3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A51,CXCR3+PD1+ Cell11,Unknown,1,CD53,Test,14.4487026922667,1,Pass,0.0174594131105956,81.115910084974,999,1,
S84-A50,CXCR3+PD1+ Cell11,Unknown,1,CCR7,Test,14.1820641348356,1,Pass,0.0174594131105956,81.3993949816974,999,1,
S84-A49,CXCR3+PD1+ Cell11,Unknown,1,C3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A60,CXCR3+PD1+ Cell11,Unknown,1,TYK2,Test,18.331204995984,1,Pass,0.0174594131105956,84.9118351009281,999,1,
S84-A59,CXCR3+PD1+ Cell11,Unknown,1,STAT5B,Test,15.1007713192991,0,Fail,0.0174594131105956,999,999,0,
S84-A58,CXCR3+PD1+ Cell11,Unknown,1,RAC1,Test,16.0063926120526,0,Fail,0.0174594131105956,999,999,0,
S84-A57,CXCR3+PD1+ Cell11,Unknown,1,NFKB1,Test,15.9153955381424,1,Pass,0.0174594131105956,79.8803810122443,999,1,
S84-A56,CXCR3+PD1+ Cell11,Unknown,1,IRF2,Test,16.125349171239,1,Pass,0.0174594131105956,81.7855413067411,999,1,
S84-A55,CXCR3+PD1+ Cell11,Unknown,1,IL3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A66,CXCR3+PD1+ Cell11,Unknown,1,IL10,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A65,CXCR3+PD1+ Cell11,Unknown,1,IFI44,Test,13.1082719659091,0,Fail,0.0174594131105956,999,999,0,
S84-A64,CXCR3+PD1+ Cell11,Unknown,1,FYN,Test,16.4935581671494,1,Pass,0.0174594131105956,77.3776376809221,999,1,
S84-A63,CXCR3+PD1+ Cell11,Unknown,1,CD8A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A62,CXCR3+PD1+ Cell11,Unknown,1,CD274,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A61,CXCR3+PD1+ Cell11,Unknown,1,C5,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A72,CXCR3+PD1+ Cell11,Unknown,1,VAV1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A71,CXCR3+PD1+ Cell11,Unknown,1,TBX21,Test,16.5602823281421,1,Pass,0.0174594131105956,84.0940524390519,999,1,
S84-A70,CXCR3+PD1+ Cell11,Unknown,1,RAC2,Test,13.7472140999389,1,Pass,0.0174594131105956,82.0778207770787,999,1,
S84-A69,CXCR3+PD1+ Cell11,Unknown,1,NLRP3,Test,17.9304161239083,1,Pass,0.0174594131105956,83.6866126213169,999,1,
S84-A68,CXCR3+PD1+ Cell11,Unknown,1,IRF4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A67,CXCR3+PD1+ Cell11,Unknown,1,IL4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A78,CXCR3+PD1+ Cell11,Unknown,1,IL12RB1,Test,999,0,Pass,0.0174594131105956,999,999,0,
S84-A77,CXCR3+PD1+ Cell11,Unknown,1,IFI44L,Test,17.5916618833936,0,Fail,0.0174594131105956,999,82.2654776610562,0,
S84-A76,CXCR3+PD1+ Cell11,Unknown,1,GAPDH,Test,13.4933862838621,1,Pass,0.0174594131105956,81.6171320233893,999,1,
S84-A75,CXCR3+PD1+ Cell11,Unknown,1,CDC42,Test,13.2759253912029,1,Pass,0.0174594131105956,78.2526823885199,73.4478966965323,0.939393011074937,
S84-A74,CXCR3+PD1+ Cell11,Unknown,1,CD28,Test,15.6089617038198,1,Pass,0.0174594131105956,80.2109172991924,999,1,
S84-A73,CXCR3+PD1+ Cell11,Unknown,1,CCR1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A84,CXCR3+PD1+ Cell11,Unknown,1,ZAP70,Test,17.3284085262398,1,Pass,0.0174594131105956,84.829811083924,999,1,
S84-A83,CXCR3+PD1+ Cell11,Unknown,1,TGFBR2,Test,17.001119082081,1,Pass,0.0174594131105956,80.8608638723448,999,1,
S84-A82,CXCR3+PD1+ Cell11,Unknown,1,RORC,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A81,CXCR3+PD1+ Cell11,Unknown,1,NR4A1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A80,CXCR3+PD1+ Cell11,Unknown,1,IRF7,Test,999,0,Pass,0.0174594131105956,999,999,0,
S84-A79,CXCR3+PD1+ Cell11,Unknown,1,IL4R,Test,999,0,Pass,0.0174594131105956,999,999,0,
S84-A90,CXCR3+PD1+ Cell11,Unknown,1,IL17A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A89,CXCR3+PD1+ Cell11,Unknown,1,IFIT1,Test,14.841163845807,1,Pass,0.0174594131105956,80.0350243025424,999,1,
S84-A88,CXCR3+PD1+ Cell11,Unknown,1,GATA3,Test,17.3454604492692,1,Pass,0.0174594131105956,87.7644137580596,999,1,
S84-A87,CXCR3+PD1+ Cell11,Unknown,1,CTLA4,Test,15.2046896552118,1,Pass,0.0174594131105956,84.0251538620059,999,1,
S84-A86,CXCR3+PD1+ Cell11,Unknown,1,CD3E,Test,15.3016916363531,1,Pass,0.0174594131105956,79.9111096363758,999,1,
S84-A85,CXCR3+PD1+ Cell11,Unknown,1,CCR2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A96,CXCR3+PD1+ Cell11,Unknown,1,ZEB2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A95,CXCR3+PD1+ Cell11,Unknown,1,TNF,Test,19.0344963234841,0,Pass,0.0174594131105956,999,88.3962099046187,0,
S84-A94,CXCR3+PD1+ Cell11,Unknown,1,RPL13A,Test,12.5231378896072,0,Pass,0.0174594131105956,999,89.9253287812658,0,
S84-A93,CXCR3+PD1+ Cell11,Unknown,1,PDCD1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S84-A92,CXCR3+PD1+ Cell11,Unknown,1,IRF9,Test,18.4201367094286,1,Pass,0.0174594131105956,87.5744240415097,999,1,
S84-A91,CXCR3+PD1+ Cell11,Unknown,1,IL5,Test,999,0,Fail,0.0174594131105956,999,999,0,
S18-A01,Alt1-9 Cell14,Unknown,1,AIM2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S18-A02,Alt1-9 Cell14,Unknown,1,CCR3,Test,15.2902649422873,1,Pass,0.0174594131105956,77.8672138473868,999,1,
S18-A03,Alt1-9 Cell14,Unknown,1,CD4,Test,999,0,Pass,0.0174594131105956,999,999,0,
S18-A04,Alt1-9 Cell14,Unknown,1,CXCL10,Test,14.7157750118704,1,Pass,0.0174594131105956,80.0779273770264,999,1,
S18-A05,Alt1-9 Cell14,Unknown,1,GSK3A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S18-A06,Alt1-9 Cell14,Unknown,1,IFIT3,Test,14.9629147298117,1,Pass,0.0174594131105956,79.6078530889784,999,1,
S18-A07,Alt1-9 Cell14,Unknown,1,IL2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S18-A08,Alt1-9 Cell14,Unknown,1,IL5RA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S18-A09,Alt1-9 Cell14,Unknown,1,ISG15,Test,24.9781645441299,0,Fail,0.0174594131105956,999,91.5681372348188,0,
S18-A10,Alt1-9 Cell14,Unknown,1,PPARA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S18-A11,Alt1-9 Cell14,Unknown,1,SOCS3,Test,17.4028774609546,1,Pass,0.0174594131105956,86.2305260750602,999,1,
S18-A12,Alt1-9 Cell14,Unknown,1,TNFAIP3,Test,999,0,Pass,0.0174594131105956,999,999,0,
S18-A13,Alt1-9 Cell14,Unknown,1,B2M,Test,999,0,Pass,0.0174594131105956,999,999,0,
S18-A14,Alt1-9 Cell14,Unknown,1,CCR4,Test,18.7498797462778,0,Fail,0.0174594131105956,999,76.6125772175548,0,
S18-A15,Alt1-9 Cell14,Unknown,1,CD40,Test,14.6208444388875,1,Pass,0.0174594131105956,87.4497155253566,999,1,
S18-A16,Alt1-9 Cell14,Unknown,1,CXCL9,Test,999,0,Fail,0.0174594131105956,999,999,0,
S18-A17,Alt1-9 Cell14,Unknown,1,GSK3B,Test,999,0,Fail,0.0174594131105956,999,999,0,
S18-A18,Alt1-9 Cell14,Unknown,1,IFNAR1,Test,999,0,Pass,0.0174594131105956,999,999,0,
S18-A19,Alt1-9 Cell14,Unknown,1,IL21,Test,999,0,Fail,0.0174594131105956,999,999,0,
S18-A20,Alt1-9 Cell14,Unknown,1,IL7,Test,999,0,Fail,0.0174594131105956,999,999,0,
S18-A21,Alt1-9 Cell14,Unknown,1,JAK1,Test,999,0,Pass,0.0174594131105956,999,999,0,
S18-A22,Alt1-9 Cell14,Unknown,1,PPARG,Test,999,0,Fail,0.0174594131105956,999,999,0,
S18-A23,Alt1-9 Cell14,Unknown,1,STAT1,Test,999,0,Fail,0.0174594131105956,999,999,0,
