Chip Run Info,C:\Users\Teyton Lab\Dropbox (Scripps Research)\Teyton Lab\Biomark\SMS Files\20200203-GE-96x96-TNet006-Plate2\ChipRun.bml,1362427296,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2/3/2020 5:25:12 PM,00:30:38,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A49,Empty2,Unknown,1,C3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A60,Empty2,Unknown,1,TYK2,Test,26.4742452601291,0,Fail,0.0174594131105956,999,79.0211359729222,0,
S96-A59,Empty2,Unknown,1,STAT5B,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A58,Empty2,Unknown,1,RAC1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A57,Empty2,Unknown,1,NFKB1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A56,Empty2,Unknown,1,IRF2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S96-A55,Empty2,Unknown,1,IL3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A66,Empty2,Unknown,1,IL10,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A65,Empty2,Unknown,1,IFI44,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A64,Empty2,Unknown,1,FYN,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A63,Empty2,Unknown,1,CD8A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A62,Empty2,Unknown,1,CD274,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A61,Empty2,Unknown,1,C5,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A72,Empty2,Unknown,1,VAV1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A71,Empty2,Unknown,1,TBX21,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A70,Empty2,Unknown,1,RAC2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A69,Empty2,Unknown,1,NLRP3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A68,Empty2,Unknown,1,IRF4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A67,Empty2,Unknown,1,IL4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A78,Empty2,Unknown,1,IL12RB1,Test,999,0,Pass,0.0174594131105956,999,999,0,
S96-A77,Empty2,Unknown,1,IFI44L,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A76,Empty2,Unknown,1,GAPDH,Test,23.5170835133874,1,Fail,0.0174594131105956,81.1815219360478,999,1,
S96-A75,Empty2,Unknown,1,CDC42,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A74,Empty2,Unknown,1,CD28,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A73,Empty2,Unknown,1,CCR1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A84,Empty2,Unknown,1,ZAP70,Test,999,0,Pass,0.0174594131105956,999,999,0,
S96-A83,Empty2,Unknown,1,TGFBR2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S96-A82,Empty2,Unknown,1,RORC,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A81,Empty2,Unknown,1,NR4A1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A80,Empty2,Unknown,1,IRF7,Test,999,0,Pass,0.0174594131105956,999,999,0,
S96-A79,Empty2,Unknown,1,IL4R,Test,999,0,Pass,0.0174594131105956,999,999,0,
S96-A90,Empty2,Unknown,1,IL17A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A89,Empty2,Unknown,1,IFIT1,Test,999,0,Pass,0.0174594131105956,999,999,0,
S96-A88,Empty2,Unknown,1,GATA3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A87,Empty2,Unknown,1,CTLA4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A86,Empty2,Unknown,1,CD3E,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A85,Empty2,Unknown,1,CCR2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A96,Empty2,Unknown,1,ZEB2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A95,Empty2,Unknown,1,TNF,Test,999,0,Pass,0.0174594131105956,999,999,0,
