Chip Run Info,C:\Users\Teyton Lab\Dropbox (Scripps Research)\Teyton Lab\Biomark\SMS Files\20200202-GE-96x96-TNet006-Plate1\ChipRun.bml,1362427237,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2/2/2020 6:20:43 PM,00:30:57,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,Empty2,Unknown,1,AIM2,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A02,Empty2,Unknown,1,CCR3,Test,16.2115256298531,0,Pass,0.0166474523607776,999,999,0,
S96-A03,Empty2,Unknown,1,CD4,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A04,Empty2,Unknown,1,CXCL10,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A05,Empty2,Unknown,1,GSK3A,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A06,Empty2,Unknown,1,IFIT3,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A07,Empty2,Unknown,1,IL2,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A08,Empty2,Unknown,1,IL5RA,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A09,Empty2,Unknown,1,ISG15,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A10,Empty2,Unknown,1,PPARA,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A11,Empty2,Unknown,1,SOCS3,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A12,Empty2,Unknown,1,TNFAIP3,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A13,Empty2,Unknown,1,B2M,Test,999,0,Pass,0.0166474523607776,999,999,0,
S96-A14,Empty2,Unknown,1,CCR4,Test,17.3290453765651,0,Fail,0.0166474523607776,999,76.8191417370953,0,
S96-A15,Empty2,Unknown,1,CD40,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A16,Empty2,Unknown,1,CXCL9,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A17,Empty2,Unknown,1,GSK3B,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A18,Empty2,Unknown,1,IFNAR1,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A19,Empty2,Unknown,1,IL21,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A20,Empty2,Unknown,1,IL7,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A21,Empty2,Unknown,1,JAK1,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A22,Empty2,Unknown,1,PPARG,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A23,Empty2,Unknown,1,STAT1,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A24,Empty2,Unknown,1,TNFRSF1A,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A25,Empty2,Unknown,1,BCL2,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A26,Empty2,Unknown,1,CCR5,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A27,Empty2,Unknown,1,CD44,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A28,Empty2,Unknown,1,CXCR3,Test,999,0,Pass,0.0166474523607776,999,999,0,
S96-A29,Empty2,Unknown,1,HLA-DRA,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A30,Empty2,Unknown,1,IFNAR2,Test,999,0,Pass,0.0166474523607776,999,999,0,
S96-A31,Empty2,Unknown,1,IL25,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A32,Empty2,Unknown,1,IL7R,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A33,Empty2,Unknown,1,JAK2,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A34,Empty2,Unknown,1,PPARGC1A,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A35,Empty2,Unknown,1,STAT3,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A36,Empty2,Unknown,1,TNFRSF1B,Test,27.9410490786115,0,Fail,0.0166474523607776,999,999,0,
S96-A37,Empty2,Unknown,1,BCL6,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A38,Empty2,Unknown,1,CCR6,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A39,Empty2,Unknown,1,CD52,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A40,Empty2,Unknown,1,CXCR4,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A41,Empty2,Unknown,1,ICAM1,Test,999,0,Fail,0.0166474523607776,999,999,0,
S96-A42,Empty2,Unknown,1,IFNG,Test,999,0,Fail,0.0166474523607776,999,999,0,
